"Music Kit | Damjan Mravunac, The Talos Principle"
Tec-9 | Fuel Injector (Factory New)
Sticker | Boom
Sticker | Countdown
MAG-7 | Hazard (Battle-Scarred)
FAMAS | Pulse (Minimal Wear)
M4A4 | Bullet Rain (Battle-Scarred)
StatTrak™ Galil AR | Black Sand (Battle-Scarred)
M4A1-S | Blood Tiger (Field-Tested)
Souvenir XM1014 | CaliCamo (Factory New)
★ Falchion Knife | Crimson Web (Minimal Wear)
AK-47 | Jungle Spray (Minimal Wear)
StatTrak™ MAC-10 | Malachite (Battle-Scarred)
ESL One Katowice 2015 Cache Souvenir Package
AK-47 | Emerald Pinstripe (Well-Worn)
★ StatTrak™ Shadow Daggers | Blue Steel (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Stained (Battle-Scarred)
P250 | Iron Clad (Factory New)
★ StatTrak™ Shadow Daggers | Boreal Forest (Well-Worn)
★ StatTrak™ Bowie Knife | Ultraviolet (Well-Worn)
★ Falchion Knife | Tiger Tooth (Minimal Wear)
★ Hand Wraps | Slaughter (Factory New)
★ StatTrak™ Shadow Daggers | Tiger Tooth (Minimal Wear)
Sticker | North (Foil) | Boston 2018
★ StatTrak™ Karambit | Gamma Doppler (Minimal Wear)
Souvenir G3SG1 | Jungle Dashed (Factory New)
★ StatTrak™ Bayonet | Blue Steel (Factory New)
Sticker | Happy (Gold) | Boston 2018
Sticker | Stewie2K | Boston 2018
Sticker | pashaBiceps (Foil) | Boston 2018
Sticker | stanislaw (Gold) | Boston 2018
Sticker | balblna (Gold) | Boston 2018
★ StatTrak™ Bowie Knife | Night (Well-Worn)
Sticker | Kjaerbye (Gold) | Boston 2018
Sticker | jmqa (Gold) | Boston 2018
Sticker | s1mple | Boston 2018
Sticker | autimatic (Gold) | Boston 2018
Sticker | kennyS (Gold) | Boston 2018
Sticker | suNny (Gold) | Boston 2018
★ Driver Gloves | Diamondback (Factory New)
Sticker | Jame (Gold) | Boston 2018
Sticker | s1mple (Foil) | Boston 2018
★ StatTrak™ Flip Knife | Autotronic (Factory New)
Sticker | Kjaerbye | Boston 2018
Sticker | keev (Gold) | Boston 2018
Sticker | buster (Gold) | Boston 2018
Sticker | HEN1 (Foil) | Boston 2018
★ StatTrak™ Karambit | Freehand (Well-Worn)
Sticker | Boombl4 | Boston 2018
★ StatTrak™ Karambit | Autotronic (Factory New)
Sticker | balblna (Foil) | Boston 2018
Sticker | dupreeh | Cologne 2016
Souvenir G3SG1 | VariCamo (Well-Worn)
★ StatTrak™ Bayonet | Freehand (Battle-Scarred)
Sticker | fnx (Foil) | Boston 2018
Sticker | keshandr | Boston 2018
Sticker | somebody (Foil) | Boston 2018
Sticker | seang@res (Gold) | Boston 2018
Sealed Graffiti | 100 Thieves | Boston 2018
Sticker | FalleN (Foil) | Boston 2018
★ StatTrak™ Shadow Daggers | Marble Fade (Minimal Wear)
Sticker | SicK (Gold) | Boston 2018
Sticker | Zeus (Gold) | Boston 2018
★ StatTrak™ Shadow Daggers | Safari Mesh (Minimal Wear)
Sticker | chopper | Boston 2018
Sticker | MAJ3R (Gold) | Boston 2018
Sticker | xms (Gold) | Boston 2018
★ Hydra Gloves | Rattler (Factory New)
★ Hydra Gloves | Emerald (Factory New)
Sticker | Snax (Foil) | Cologne 2016
StatTrak™ P90 | Emerald Dragon (Factory New)
Sticker | TENZKI | Cologne 2016
★ Moto Gloves | POW! (Minimal Wear)
★ StatTrak™ M9 Bayonet | Freehand (Well-Worn)
★ StatTrak™ Shadow Daggers | Damascus Steel (Factory New)
★ Hand Wraps | Overprint (Minimal Wear)
★ StatTrak™ Butterfly Knife | Marble Fade (Factory New)
★ Bowie Knife | Damascus Steel (Battle-Scarred)
★ StatTrak™ Bowie Knife | Scorched (Well-Worn)
Sticker | rain (Gold) | Krakow 2017
Sticker | MSL | Cologne 2016
★ StatTrak™ M9 Bayonet | Case Hardened (Factory New)
Sticker | TACO (Foil) | Cologne 2016
★ StatTrak™ Talon Knife | Blue Steel (Minimal Wear)
★ StatTrak™ Talon Knife | Forest DDPAT (Minimal Wear)
★ StatTrak™ Flip Knife | Damascus Steel (Battle-Scarred)
★ StatTrak™ Stiletto Knife | Night Stripe (Well-Worn)
StatTrak™ G3SG1 | High Seas (Battle-Scarred)
Sealed Graffiti | Mr. Teeth (Brick Red)
★ Huntsman Knife | Boreal Forest (Factory New)
Sticker | Xyp9x (Gold) | Krakow 2017
★ Talon Knife | Scorched (Factory New)
★ Driver Gloves | Imperial Plaid (Field-Tested)
Sealed Graffiti | Terror Rice
Sealed Graffiti | GGEZ (Tracer Yellow)
Souvenir Sawed-Off | Brake Light (Minimal Wear)
Sealed Graffiti | Bling (Monarch Blue)
Sticker | REZ (Foil) | London 2018
Sticker | Lekr0 (Foil) | London 2018
Sticker | electronic (Gold) | Krakow 2017
Sticker | JW (Gold) | London 2018
Sticker | Ex6TenZ | London 2018
Sticker | AZR (Gold) | London 2018
Sticker | REZ (Gold) | London 2018
Sticker | Boombl4 (Foil) | London 2018
Sealed Graffiti | Sheriff (Wire Blue)
Sticker | Immortals (Foil) | Krakow 2017
Sealed Graffiti | Noscope (Battle Green)
Sticker | gob b (Gold) | Krakow 2017
★ StatTrak™ Ursus Knife | Stained (Minimal Wear)
★ StatTrak™ Falchion Knife | Damascus Steel (Battle-Scarred)
Sticker | Virtus.Pro | London 2018
Sticker | xccurate (Foil) | London 2018
★ StatTrak™ Huntsman Knife | Doppler (Minimal Wear)
Sticker | s1mple (Gold) | London 2018
★ StatTrak™ Navaja Knife | Boreal Forest (Minimal Wear)
Sticker | Stewie2K | London 2018
Sticker | jkaem (Foil) | London 2018
Sticker | gla1ve (Foil) | London 2018
Sticker | Gambit Esports (Holo) | London 2018
Sealed Graffiti | GTG (Battle Green)
Souvenir MP7 | Anodized Navy (Minimal Wear)
Sticker | Legendary Eagle Master (Holo)
★ Specialist Gloves | Mogul (Well-Worn)
★ Navaja Knife | Scorched (Field-Tested)
Sticker | Vega Squadron (Foil) | Krakow 2017
★ Stiletto Knife | Case Hardened (Factory New)
Sticker | AdreN (Gold) | London 2018
Sticker | mousesports (Holo) | London 2018
Sticker | niko (Gold)  | London 2018
Sticker | dennis (Gold) | London 2018
Sealed Graffiti | mousesports | London 2018
Sticker | olofmeister (Foil) | London 2018
StatTrak™ USP-S | Neo-Noir (Well-Worn)
Souvenir SG 553 | Integrale (Factory New)
Sticker | Flipsid3 Tactics (Foil) | Krakow 2017
Sticker | cajunb (Gold) | Boston 2018
Sticker | jR (Foil) | London 2018
Sticker | Zeus (Foil) | London 2018
Sticker | RUBINO (Foil) | Cologne 2016
SG 553 | Integrale (Field-Tested)
Sticker | shox (Gold) | London 2018
★ Talon Knife | Scorched (Well-Worn)
★ Talon Knife | Night Stripe (Factory New)
Sticker | wayLander (Gold) | Krakow 2017
StatTrak™ AK-47 | Neon Rider (Factory New)
Sticker | FaZe Clan (Holo) | Cologne 2016
★ Stiletto Knife | Boreal Forest (Field-Tested)
★ Shadow Daggers | Case Hardened (Factory New)
Sticker | Camper (Foil)
★ StatTrak™ Talon Knife | Night Stripe (Battle-Scarred)
★ StatTrak™ Navaja Knife | Urban Masked (Well-Worn)
PP-Bizon | Rust Coat (Factory New)
Sticker | FURIA | Katowice 2019
Sticker | stanislaw | Katowice 2019
Sticker | JW (Gold) | Katowice 2019
Sticker | TACO | London 2018
★ StatTrak™ Butterfly Knife | Ultraviolet (Battle-Scarred)
Sticker | captainMo (Gold) | London 2018
Sticker | bondik (Gold) | London 2018
★ StatTrak™ Ursus Knife | Fade (Minimal Wear)
Sticker | gob b (Gold) | London 2018
Sealed Graffiti | HellRaisers | London 2018
Sticker | HellRaisers | London 2018
Sticker | RUSH (Foil) | London 2018
Souvenir SG 553 | Integrale (Battle-Scarred)
★ StatTrak™ Talon Knife | Blue Steel (Field-Tested)
Sticker | Dosia (Gold) | London 2018
Sticker | STYKO (Foil) | London 2018
★ Ursus Knife | Blue Steel (Factory New)
Sticker | karrigan (Gold) | London 2018
Sticker | draken (Gold) | London 2018
★ Ursus Knife | Safari Mesh (Factory New)
★ Sport Gloves | Omega (Field-Tested)
★ Ursus Knife | Urban Masked (Field-Tested)
Sticker | S0tF1k (Gold) | London 2018
StatTrak™ MP7 | Powercore (Well-Worn)
Sticker | seized (Gold) | Krakow 2017
Sticker | boltz (Gold) | Krakow 2017
Sticker | hutji (Gold) | Boston 2018
Sealed Graffiti | Ninja (Dust Brown)
★ StatTrak™ Stiletto Knife | Crimson Web (Minimal Wear)
★ Stiletto Knife | Fade (Factory New)
★ StatTrak™ Gut Knife | Night (Minimal Wear)
P250 | Vino Primo (Factory New)
★ StatTrak™ Stiletto Knife | Blue Steel (Field-Tested)
Sticker | yuurih | Katowice 2019
★ StatTrak™ Butterfly Knife | Blue Steel (Factory New)
M4A4 | Mainframe (Minimal Wear)
Sticker | device (Gold) | Katowice 2019
★ Flip Knife | Autotronic (Minimal Wear)
★ StatTrak™ Huntsman Knife | Tiger Tooth (Minimal Wear)
★ Talon Knife | Boreal Forest (Minimal Wear)
★ StatTrak™ Bayonet | Rust Coat (Well-Worn)
Sticker | Silver (Foil)
Sticker | HS (Gold) | Krakow 2017
Sticker | WorldEdit (Foil) | Cologne 2015
★ StatTrak™ Navaja Knife | Forest DDPAT (Minimal Wear)
★ Navaja Knife | Safari Mesh (Field-Tested)
Sticker | Boombl4 | Katowice 2019
Sticker | malta | Katowice 2019
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2019
Sticker | chopper | Katowice 2019
P250 | Facility Draft (Factory New)
★ StatTrak™ Stiletto Knife | Safari Mesh (Well-Worn)
StatTrak™ G3SG1 | Scavenger (Battle-Scarred)
StatTrak™ USP-S | Flashback (Battle-Scarred)
★ Stiletto Knife
StatTrak™ Tec-9 | Fubar (Minimal Wear)
Sticker | RpK (Gold) | Katowice 2019
Sticker | dexter (Gold) | Katowice 2019
Sticker | ALEX (Gold) | Katowice 2019
★ Butterfly Knife | Marble Fade (Minimal Wear)
Sticker | flusha (Gold) | Katowice 2019
Sticker | Boombl4 (Gold) | Katowice 2019
Sticker | Aerial (Gold) | Katowice 2019
Sticker | IEM (Foil) | Katowice 2019
Sticker | ableJ (Gold) | Katowice 2019
Sticker | Team Liquid | Katowice 2019
Sticker | BnTeT (Gold) | Katowice 2019
★ StatTrak™ Talon Knife | Case Hardened (Field-Tested)
★ Specialist Gloves | Foundation (Well-Worn)
Sticker | MIBR | Katowice 2019
Sticker | n0thing | Katowice 2019
Sticker | jR | Katowice 2019
Sticker | chopper (Gold) | Katowice 2019
Sticker | Kjaerbye (Gold) | Krakow 2017
Sticker | daps (Gold) | Katowice 2019
Souvenir AWP | Acheron (Well-Worn)
Sticker | mou (Gold) | Krakow 2017
Sticker | autimatic (Gold) | Katowice 2019
Sticker | GuardiaN (Gold) | Katowice 2019
Sticker | Xyp9x (Gold) | Katowice 2019
Sticker | rain (Gold) | Katowice 2019
Sticker | G2 Esports | Katowice 2019
Sticker | ISSAA (Gold) | Katowice 2019
M4A4 | Emperor (Battle-Scarred)
★ Stiletto Knife | Scorched (Factory New)
★ Talon Knife | Safari Mesh (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Tiger Tooth (Factory New)
Sticker | DeadFox (Gold) | Katowice 2019
★ Stiletto Knife | Urban Masked (Well-Worn)
Sticker | tiziaN (Gold) | Katowice 2019
★ Stiletto Knife | Damascus Steel (Well-Worn)
Sticker | bodyy (Foil) | Katowice 2019
Sticker | Basilisk (Foil)
★ Stiletto Knife | Blue Steel (Factory New)
Sticker | Ninjas in Pyjamas (Foil) | Katowice 2019
StatTrak™ Tec-9 | Bamboozle (Battle-Scarred)
Souvenir P90 | Facility Negative (Battle-Scarred)
MP5-SD | Phosphor (Battle-Scarred)
Sticker | xccurate | Katowice 2019
Sticker | somebody | Katowice 2019
★ StatTrak™ Ursus Knife | Case Hardened (Factory New)
StatTrak™ M4A4 | The Emperor (Field-Tested)
★ StatTrak™ Ursus Knife | Damascus Steel (Well-Worn)
StatTrak™ UMP-45 | Momentum (Battle-Scarred)
Sticker | Astralis (Foil) | MLG Columbus 2016
★ StatTrak™ Ursus Knife | Crimson Web (Minimal Wear)
StatTrak™ AK-47 | Asiimov (Factory New)
★ Moto Gloves | Transport (Minimal Wear)
★ StatTrak™ Ursus Knife | Ultraviolet (Battle-Scarred)
★ StatTrak™ Talon Knife | Damascus Steel (Battle-Scarred)
★ Ursus Knife | Boreal Forest (Well-Worn)
Souvenir M4A1-S | Control Panel (Minimal Wear)
Sticker | HellRaisers (Foil) | Katowice 2019
StatTrak™ MP5-SD | Phosphor (Well-Worn)
Sticker | Avangar | Katowice 2019
Glock-18 | Nuclear Garden (Field-Tested)
★ Ursus Knife | Stained (Field-Tested)
★ StatTrak™ Stiletto Knife | Stained (Well-Worn)
★ StatTrak™ Ursus Knife | Damascus Steel (Battle-Scarred)
★ Stiletto Knife | Damascus Steel (Minimal Wear)
MAC-10 | Whitefish (Battle-Scarred)
★ Talon Knife | Forest DDPAT (Field-Tested)
Sticker | AZR (Foil) | Boston 2018
★ Navaja Knife | Doppler (Factory New)
★ StatTrak™ Talon Knife | Crimson Web (Field-Tested)
★ Ursus Knife | Blue Steel (Battle-Scarred)
Five-SeveN | Angry Mob (Minimal Wear)
★ StatTrak™ Gut Knife | Urban Masked (Factory New)
★ Talon Knife | Slaughter (Minimal Wear)
Sticker | Dosia (Gold) | Boston 2018
StatTrak™ Five-SeveN | Angry Mob (Well-Worn)
P2000 | Woodsman (Battle-Scarred)
Sticker | PENTA Sports | Krakow 2017
★ StatTrak™ Gut Knife | Bright Water (Field-Tested)
Sticker | Forester (Gold) | Berlin 2019
Sticker | FaZe Clan (Foil) | Berlin 2019
Sticker | Longevity
★ Talon Knife | Boreal Forest (Factory New)
Sticker | apEX (Gold) | Berlin 2019
Sticker | ALEX (Gold) | Berlin 2019
★ Huntsman Knife | Rust Coat (Well-Worn)
★ StatTrak™ Ursus Knife | Case Hardened (Well-Worn)
Sealed Graffiti | Rising Skull
★ Hand Wraps | Spruce DDPAT (Factory New)
Sticker | JW | MLG Columbus 2016
★ Ursus Knife | Stained (Well-Worn)
★ Stiletto Knife | Blue Steel (Field-Tested)
★ StatTrak™ Ursus Knife | Safari Mesh (Field-Tested)
★ Talon Knife | Night Stripe (Well-Worn)
Krakow 2017 Challengers (Holo-Foil)
Sticker | kennyS | Atlanta 2017
★ StatTrak™ Stiletto Knife | Boreal Forest (Field-Tested)
★ Talon Knife | Damascus Steel (Well-Worn)
★ Talon Knife | Forest DDPAT (Well-Worn)
★ StatTrak™ Ursus Knife | Doppler (Factory New)
Souvenir G3SG1 | Desert Storm (Factory New)
Sticker | Stewie2K | Berlin 2019
★ StatTrak™ Talon Knife | Ultraviolet (Field-Tested)
Sticker | RpK (Foil) | Berlin 2019
★ StatTrak™ Talon Knife | Safari Mesh (Battle-Scarred)
Sticker | aizy (Foil) | Berlin 2019
Sticker | FURIA (Holo) | Berlin 2019
Sticker | JaCkz (Foil) | Berlin 2019
Sticker | Boombl4 (Gold) | Berlin 2019
★ StatTrak™ Navaja Knife | Forest DDPAT (Factory New)
★ Talon Knife | Damascus Steel (Battle-Scarred)
Sticker | somebody (Gold) | Berlin 2019
★ Navaja Knife | Urban Masked (Minimal Wear)
★ StatTrak™ Navaja Knife | Slaughter (Minimal Wear)
Souvenir CZ75-Auto | Nitro (Factory New)
Sticker | Xyp9x (Gold) | Berlin 2019
Sticker | ENCE (Holo) | Berlin 2019
Sticker | Vitality (Holo) | Berlin 2019
★ Shadow Daggers | Ultraviolet (Battle-Scarred)
Sticker | North (Foil) | Berlin 2019
Sticker | ANGE1 (Gold) | Berlin 2019
Sticker | Bite Me (Foil)
★ StatTrak™ Stiletto Knife | Ultraviolet (Well-Worn)
★ StatTrak™ Bayonet | Tiger Tooth (Minimal Wear)
Sticker | Renegades (Holo) | Berlin 2019
Souvenir P250 | Facility Draft (Well-Worn)
Sticker | fer (Foil) | Berlin 2019
Sticker | NRG | Berlin 2019
★ StatTrak™ Stiletto Knife | Stained (Battle-Scarred)
StatTrak™ Glock-18 | Moonrise (Well-Worn)
★ Ursus Knife | Scorched (Battle-Scarred)
Souvenir AK-47 | Black Laminate (Factory New)
Sticker | Grayhound Gaming | Berlin 2019
★ StatTrak™ Talon Knife | Scorched (Battle-Scarred)
Sticker | FalleN (Gold) | Boston 2018
★ StatTrak™ Navaja Knife | Tiger Tooth (Minimal Wear)
★ Bloodhound Gloves | Guerrilla (Factory New)
Sticker | v4lde (Gold) | Berlin 2019
Sticker | woxic (Gold) | Berlin 2019
★ StatTrak™ Navaja Knife | Stained (Well-Worn)
★ Navaja Knife | Scorched (Battle-Scarred)
Souvenir Five-SeveN | Coolant (Well-Worn)
★ Driver Gloves | Convoy (Factory New)
Sealed Graffiti | North | Atlanta 2017
StatTrak™ P90 | Off World (Factory New)
Sticker | ScreaM (Foil) | Cologne 2016
★ Talon Knife | Boreal Forest (Well-Worn)
Sticker | dexter (Gold) | Berlin 2019
Sticker | Vitality (Foil) | Berlin 2019
Sticker | Twistzz (Gold) | Berlin 2019
★ Hand Wraps | Arboreal (Minimal Wear)
Nova | Plume (Battle-Scarred)
Sealed Graffiti | Smirk (Cash Green)
Sealed Graffiti | Little Bock (Dust Brown)
AK-47 | Rat Rod (Well-Worn)
★ Nomad Knife | Boreal Forest (Battle-Scarred)
Sticker | Gambit Esports (Foil) | Boston 2018
Sticker | Twistzz (Foil) | London 2018
★ Survival Knife | Case Hardened (Field-Tested)
Sticker | GuardiaN (Gold) | Berlin 2019
Sticker | RpK (Gold) | Berlin 2019
Sticker | NRG (Foil) | Berlin 2019
Sticker | nitr0 (Gold) | Berlin 2019
★ Classic Knife | Stained (Well-Worn)
★ StatTrak™ Huntsman Knife | Rust Coat (Well-Worn)
★ Butterfly Knife | Stained (Factory New)
StatTrak™ MAG-7 | Popdog (Factory New)
StatTrak™ P250 | See Ya Later (Factory New)
★ Classic Knife | Blue Steel (Well-Worn)
AUG | Flame Jörmungandr (Battle-Scarred)
StatTrak™ FAMAS | Decommissioned (Battle-Scarred)
★ StatTrak™ Talon Knife | Stained (Factory New)
Sealed Graffiti | Thoughtfull (Blood Red)
Sticker | SK Gaming | Boston 2018
Sticker | Extermination
SCAR-20 | Assault (Factory New)
★ Navaja Knife | Night Stripe (Factory New)
StatTrak™ AUG | Momentum (Battle-Scarred)
Sticker | waterfaLLZ (Gold) | London 2018
Sticker | Legendary Eagle Master
Sealed Graffiti | Kiss (Violent Violet)
StatTrak™ AUG | Momentum (Well-Worn)
StatTrak™ UMP-45 | Corporal (Field-Tested)
★ StatTrak™ Huntsman Knife
DreamHack 2014 Cobblestone Souvenir Package
★ Bowie Knife | Scorched (Well-Worn)
★ M9 Bayonet | Crimson Web (Minimal Wear)
Souvenir AWP | Pit Viper (Field-Tested)
★ M9 Bayonet | Bright Water (Battle-Scarred)
Souvenir Dual Berettas | Contractor (Well-Worn)
Sticker | FURIA (Foil) | Berlin 2019
Sticker | mousesports | Berlin 2019
Sticker | Syman Gaming (Foil) | Berlin 2019
StatTrak™ AK-47 | Orbit Mk01 (Battle-Scarred)
Sticker | Zeus (Gold) | Berlin 2019
Sticker | dexter (Foil) | Berlin 2019
★ Talon Knife | Stained (Minimal Wear)
Five-SeveN | Buddy (Field-Tested)
★ Bowie Knife | Night (Battle-Scarred)
StatTrak™ PP-Bizon | Embargo (Battle-Scarred)
Sawed-Off | Jungle Thicket (Well-Worn)
Sticker | Mastermind
Dual Berettas | Emerald (Factory New)
★ Bowie Knife | Rust Coat (Well-Worn)
StatTrak™ G3SG1 | Black Sand (Minimal Wear)
SSG 08 | Red Stone (Minimal Wear)
Sealed Graffiti | Broken Heart (Monster Purple)
Sealed Graffiti | Little Bock (Tracer Yellow)
Sticker | Team Dignitas (Holo) | Katowice 2014
StatTrak™ AK-47 | Fuel Injector (Factory New)
★ Shadow Daggers | Stained (Well-Worn)
StatTrak™ SCAR-20 | Outbreak (Well-Worn)
Sticker | Team Liquid | MLG Columbus 2016
Nova | Blaze Orange (Battle-Scarred)
Five-SeveN | Kami (Factory New)
SG 553 | Anodized Navy (Factory New)
★ Ursus Knife | Ultraviolet (Minimal Wear)
★ Bowie Knife | Ultraviolet (Minimal Wear)
SCAR-20 | Stone Mosaico (Battle-Scarred)
Sealed Graffiti | Applause (Violent Violet)
★ StatTrak™ Survival Knife | Safari Mesh (Well-Worn)
M4A1-S | Moss Quartz (Battle-Scarred)
Sealed Graffiti | 1G (Tiger Orange)
★ StatTrak™ Paracord Knife | Safari Mesh (Field-Tested)
★ Skeleton Knife | Scorched (Minimal Wear)
Sticker | Team Liquid | Boston 2018
Sticker | Move It (Foil)
★ Paracord Knife | Urban Masked (Factory New)
★ Nomad Knife | Night Stripe (Field-Tested)
R8 Revolver | Memento (Factory New)
StatTrak™ Galil AR | Akoben (Factory New)
★ Karambit | Tiger Tooth (Minimal Wear)
★ StatTrak™ M9 Bayonet | Black Laminate (Field-Tested)
PP-Bizon | Modern Hunter (Factory New)
★ StatTrak™ Karambit | Case Hardened (Minimal Wear)
M4A4 | Howl (Field-Tested)
★ StatTrak™ Butterfly Knife | Slaughter (Factory New)
★ M9 Bayonet | Marble Fade (Factory New)
AWP | Medusa (Minimal Wear)
StatTrak™ M4A4 | Desert-Strike (Well-Worn)
Sticker | Titan (Holo) | Cologne 2014
★ StatTrak™ Flip Knife | Urban Masked (Minimal Wear)
★ StatTrak™ Flip Knife | Safari Mesh (Minimal Wear)
AWP | Dragon Lore (Battle-Scarred)
AK-47 | Safari Mesh (Battle-Scarred)
AK-47 | Bloodsport (Factory New)
P90 | Teardown (Factory New)
M4A1-S | Boreal Forest (Well-Worn)
M4A4 | Urban DDPAT (Battle-Scarred)
Desert Eagle | Urban Rubble (Minimal Wear)
SCAR-20 | Contractor (Field-Tested)
P90 | Sand Spray (Field-Tested)
AUG | Chameleon (Factory New)
Nova | Polar Mesh (Field-Tested)
MAG-7 | Metallic DDPAT (Factory New)
Sticker | Too Late
★ StatTrak™ Talon Knife | Urban Masked (Field-Tested)
StatTrak™ Tec-9 | Flash Out (Well-Worn)
★ StatTrak™ Paracord Knife | Boreal Forest (Well-Worn)
M249 | Aztec (Well-Worn)
★ Nomad Knife | Stained (Field-Tested)
★ StatTrak™ Stiletto Knife | Crimson Web (Battle-Scarred)
Sealed Graffiti | Smirk (Monarch Blue)
Sealed Graffiti | Grimace (Monster Purple)
★ StatTrak™ Navaja Knife | Night Stripe (Minimal Wear)
★ StatTrak™ Paracord Knife | Urban Masked (Field-Tested)
SSG 08 | Bloodshot (Minimal Wear)
★ Karambit | Black Laminate (Well-Worn)
StatTrak™ Tec-9 | Decimator (Field-Tested)
XM1014 | Frost Borre (Well-Worn)
★ StatTrak™ Ursus Knife | Case Hardened (Battle-Scarred)
★ StatTrak™ Bowie Knife | Night (Minimal Wear)
SSG 08 | Sea Calico (Well-Worn)
★ Skeleton Knife | Night Stripe (Field-Tested)
StatTrak™ AUG | Momentum (Factory New)
StatTrak™ SCAR-20 | Torn (Factory New)
Desert Eagle | Emerald Jörmungandr (Well-Worn)
★ Paracord Knife | Blue Steel (Well-Worn)
StatTrak™ SCAR-20 | Assault (Factory New)
Souvenir UMP-45 | Blaze (Minimal Wear)
Tec-9 | Bamboozle (Well-Worn)
StatTrak™ FAMAS | Mecha Industries (Battle-Scarred)
""
Sticker | Natus Vincere | Katowice 2019
★ StatTrak™ Paracord Knife | Stained (Battle-Scarred)
Sealed Graffiti | Dead Now (Shark White)
★ StatTrak™ Ursus Knife | Night Stripe (Minimal Wear)
★ StatTrak™ Talon Knife | Case Hardened (Battle-Scarred)
Sealed Graffiti | Oops (Bazooka Pink)
Sealed Graffiti | Applause (Blood Red)
StatTrak™ SCAR-20 | Assault (Battle-Scarred)
★ Classic Knife | Fade (Minimal Wear)
★ StatTrak™ Ursus Knife | Scorched (Factory New)
StatTrak™ Five-SeveN | Buddy (Battle-Scarred)
SCAR-20 | Contractor (Battle-Scarred)
AWP | Safari Mesh (Well-Worn)
★ StatTrak™ M9 Bayonet | Bright Water (Field-Tested)
★ StatTrak™ Flip Knife | Scorched (Minimal Wear)
StatTrak™ UMP-45 | Plastique (Well-Worn)
★ StatTrak™ Butterfly Knife | Scorched (Minimal Wear)
★ Gut Knife | Rust Coat (Well-Worn)
Sealed Graffiti | Shining Star (Blood Red)
Halo Capsule
P90 | Sand Spray (Battle-Scarred)
★ StatTrak™ Bayonet | Marble Fade (Factory New)
M4A4 | Dark Blossom (Factory New)
Dual Berettas | Contractor (Battle-Scarred)
USP-S | Forest Leaves (Battle-Scarred)
Glock-18 | Blue Fissure (Minimal Wear)
AUG | Contractor (Battle-Scarred)
MAC-10 | Aloha (Well-Worn)
Sticker | Obey SAS
StatTrak™ P250 | Inferno (Well-Worn)
Tec-9 | Red Quartz (Minimal Wear)
★ StatTrak™ Talon Knife | Safari Mesh (Field-Tested)
★ StatTrak™ Bayonet | Crimson Web (Field-Tested)
★ StatTrak™ Bayonet | Scorched (Field-Tested)
★ StatTrak™ Karambit | Marble Fade (Minimal Wear)
StatTrak™ PP-Bizon | Fuel Rod (Minimal Wear)
★ Survival Knife | Case Hardened (Battle-Scarred)
MAG-7 | Popdog (Battle-Scarred)
R8 Revolver | Canal Spray (Factory New)
Sticker | S0tF1k (Foil) | London 2018
★ Skeleton Knife | Forest DDPAT (Battle-Scarred)
★ StatTrak™ Skeleton Knife | Stained (Field-Tested)
StatTrak™ Tec-9 | Fuel Injector (Field-Tested)
StatTrak™ UMP-45 | Corporal (Minimal Wear)
Glock-18 | Blue Fissure (Field-Tested)
USP-S | Pathfinder (Minimal Wear)
Dual Berettas | Pyre (Factory New)
★ StatTrak™ Bowie Knife | Fade (Factory New)
SSG 08 | Blue Spruce (Battle-Scarred)
Sticker | Flipsid3 Tactics | Cologne 2015
★ Ursus Knife | Scorched (Factory New)
Sticker | Mastermind (Holo)
USP-S | Royal Blue (Minimal Wear)
AK-47 | Baroque Purple (Well-Worn)
StatTrak™ Nova | Wild Six (Well-Worn)
CZ75-Auto | Emerald Quartz (Well-Worn)
Sealed Graffiti | Kiss (Princess Pink)
★ M9 Bayonet | Black Laminate (Well-Worn)
PP-Bizon | Brass (Minimal Wear)
Sticker | Distinguished Master Guardian
StatTrak™ AWP | Containment Breach (Well-Worn)
Sealed Graffiti | Broken Heart (Brick Red)
SG 553 | Barricade (Field-Tested)
Desert Eagle | Mudder (Battle-Scarred)
MP9 | Bioleak (Battle-Scarred)
SCAR-20 | Assault (Battle-Scarred)
P2000 | Pathfinder (Field-Tested)
StatTrak™ MP9 | Sand Scale (Factory New)
Souvenir AWP | Pit Viper (Well-Worn)
StatTrak™ SSG 08 | Slashed (Field-Tested)
M4A4 | Howl (Well-Worn)
""
AK-47 | Bloodsport (Minimal Wear)
Souvenir MAC-10 | Indigo (Field-Tested)
AUG | Contractor (Minimal Wear)
★ StatTrak™ Karambit | Autotronic (Well-Worn)
StatTrak™ P90 | Shapewood (Factory New)
★ M9 Bayonet | Lore (Factory New)
★ StatTrak™ Karambit | Safari Mesh (Minimal Wear)
★ StatTrak™ Bowie Knife
★ Karambit | Tiger Tooth (Factory New)
G3SG1 | Chronos (Minimal Wear)
★ StatTrak™ Karambit | Case Hardened (Field-Tested)
★ StatTrak™ M9 Bayonet | Urban Masked (Field-Tested)
SG 553 | Waves Perforated (Minimal Wear)
Chroma 3 Case
Galil AR | Aqua Terrace (Field-Tested)
MP7 | Army Recon (Field-Tested)
StatTrak™ Desert Eagle | Light Rail (Factory New)
Sticker | byali (Foil) | London 2018
FAMAS | Colony (Field-Tested)
Sticker | tarik (Foil) | Cologne 2015
